,op,evoflow,basic,ens,top10,top10W
op,,,0.875710308642765,,0.443406581878662,0.726183891296387
evoflow,0.011472702026367,,0.010324478149414,0.049552452114171,0.007838221652521,0.012948886352603
basic,,,,,0.222107410430908,0.544590473175049
ens,0.523510932922363,,0.030117511749268,,0.001865751519687,0.01237422010582
top10,,,,,,
top10W,,,,,0.08355636667536,
