dataset,EvoFlow_TPOT,EvoFlow_Auto-Sklearn,EvoFlow_MLPlan,TPOT_Auto-Sklearn,TPOT_MLPlan,Auto-Sklearn_MLPlan
gisette,0.0008,0.0,0.0,0.7475,0.4324,0.0282
convex,0.0,0.0,0.0,0.0,0.0,0.0037
