,Auto-Sklearn,TPOT,MLPlan,EvoFlow
Auto-Sklearn,,0.4825911521911621,0.24789905548095703,
TPOT,,,0.12888002395629883,
MLPlan,,,,
EvoFlow,8.058547973632812e-05,4.76837158203125e-07,2.0503997802734375e-05,
