dataset,EvoFlow_TPOT,EvoFlow_Auto-Sklearn,EvoFlow_MLPlan,TPOT_Auto-Sklearn,TPOT_MLPlan,Auto-Sklearn_MLPlan
abalone,0.0045,0.0576,0.5548,0.5548,0.0006,0.0128
amazon,0.0,0.0046,0.0,0.0484,0.0,0.0
breastcancer,0.0932,0.4242,0.0932,0.4242,0.0018,0.0035
car,0.0018,0.0534,0.0018,0.0018,0.0036,0.0534
convex,0.0094,0.0,0.0,0.0,0.0,0.0
dexter,0.007,0.003,0.0312,0.342,0.9347,0.5548
dorothea,0.0,0.0,1.0,1.0,1.0,1.0
germancredit,0.0084,0.6477,0.0006,0.0008,0.0051,0.0006
gisette,0.0294,0.086,0.0294,0.4864,0.4864,0.297
glass,0.12,0.1323,0.0,0.8721,0.12,0.1323
hillvalley,0.2176,0.0,0.0,0.0,0.0,0.2433
ionosphere,0.8983,0.0,0.495,0.0005,0.495,0.0088
krvskp,0.1376,0.8408,0.13,0.6236,0.0438,0.1376
madelon,0.0,0.0,0.0,0.0001,0.0,0.0
secom,0.0,0.0,0.0016,0.1518,0.0798,0.6742
semeion,1.0,0.0,1.0,0.0,1.0,0.0
shuttle,0.0459,0.9273,0.0,0.0936,0.0152,0.0
spambase,1.0,1.0,1.0,1.0,1.0,1.0
waveform,0.1274,0.0,0.003,0.0,0.9854,0.0
winequalityred,0.002,0.3118,0.0,0.0003,0.0,0.0
winequalitywhite,0.006,0.2784,0.0,0.2784,0.3072,0.3072
yeast,0.0,0.0362,0.0,0.0112,0.0,0.0
