,Auto-Sklearn,TPOT,MLPlan,EvoFlow
Auto-Sklearn,,0.49579811096191406,0.49579811096191406,
TPOT,,,0.3866400718688965,
MLPlan,,,,
EvoFlow,0.0003223419189453125,2.86102294921875e-06,0.00010251998901367188,
