,Auto-Sklearn,TPOT,MLPlan,EvoFlow
Auto-Sklearn,,1.0,1.0,
TPOT,,,1.0,
MLPlan,,,,
EvoFlow,0.0008525848388671875,2.86102294921875e-06,7.867813110351562e-05,
