,Auto-Sklearn,TPOT,MLPlan,EvoFlow
Auto-Sklearn,,0.6101517677307129,0.46277761459350586,
TPOT,,,0.42448854446411133,
MLPlan,,,,
EvoFlow,0.00021314620971679688,4.76837158203125e-07,1.5735626220703125e-05,
