dataset,EvoFlow_TPOT,EvoFlow_Auto-Sklearn,EvoFlow_MLPlan,TPOT_Auto-Sklearn,TPOT_MLPlan,Auto-Sklearn_MLPlan
abalone,0.0009,0.0192,0.2774,0.3118,0.0001,0.0032
amazon,0.0,0.0023,0.0,0.0484,0.0,0.0
breastcancer,0.0233,0.2767,0.0266,0.2121,0.0003,0.0007
car,0.0003,0.0296,0.0003,0.0003,0.0012,0.0267
convex,0.0094,0.0,0.0,0.0,0.0,0.0
dexter,0.0014,0.0005,0.0078,0.114,0.9347,0.2774
dorothea,0.0,0.0,777.0,0.7022,777.0,777.0
germancredit,0.0042,0.6477,0.0001,0.0002,0.0017,0.0001
gisette,0.0056,0.0215,0.0049,0.2432,0.3683,0.099
glass,0.024,0.0637,0.0,0.8721,0.024,0.0441
hillvalley,0.1088,0.0,0.0,0.0,0.0,0.2433
ionosphere,0.8983,0.0,0.243,0.0001,0.165,0.0022
krvskp,0.0417,0.8408,0.026,0.3118,0.0073,0.0344
madelon,0.0,0.0,0.0,0.0001,0.0,0.0
secom,0.0,0.0,0.0004,0.0759,0.0266,0.6742
semeion,0.9563,0.0,0.7012,0.0,0.9854,0.0
shuttle,0.0153,0.9273,0.0,0.0468,0.0038,0.0
spambase,0.9563,0.8124,0.4749,0.6477,0.5459,0.5958
waveform,0.0637,0.0,0.001,0.0,0.9854,0.0
winequalityred,0.001,0.3118,0.0,0.0001,0.0,0.0
winequalitywhite,0.0012,0.0696,0.0,0.0826,0.1536,0.165
yeast,0.0,0.0362,0.0,0.0056,0.0,0.0
