dataset,EvoFlow_RECIPE
winequalityred,0.0637
car,0.0
breastcancer,0.0008
ionosphere,0.0012
waveform,0.0
hillvalley,0.0001
glass,0.0
winequalitywhite,0.0
yeast,0.0
madelon,0.2024
krvskp,0.0826
semeion,0.0266
spambase,0.6742
germancredit,0.0
secom,
dorothea,
shuttle,
amazon,
dexter,
gisette,
abalone,
convex,
