dataset,EvoFlow_RECIPE
winequalityred,0.0484
car,0.0
breastcancer,0.0017
gisette,0.0003
ionosphere,0.0049
dexter,0.1769
waveform,0.0
amazon,0.0001
hillvalley,0.0001
glass,0.0107
winequalitywhite,0.0012
yeast,0.0
madelon,0.0
convex,0.0
krvskp,0.6215
semeion,0.0328
shuttle,0.0083
spambase,0.6742
germancredit,0.0
secom,
abalone,
dorothea,
